normal_static_wrs, normal_static_heap, normal_static_discrete, normal_static_sideways_fenwick, normal_changing_wrs, normal_changing_heap, normal_changing_sideways_fenwick, uniform_static_wrs, uniform_static_heap, uniform_static_discrete, uniform_static_sideways_fenwick, uniform_changing_wrs, uniform_changing_heap, uniform_changing_sideways_fenwick, weibull_static_wrs, weibull_static_heap, weibull_static_discrete, weibull_static_sideways_fenwick, weibull_changing_wrs, weibull_changing_heap, weibull_changing_sideways_fenwick
0.032214, 0.033967, 0.032781, 0.032431, 0.0418, 0.041898, 0.038473, 0.029812, 0.029056, 0.029255, 0.029216, 0.016257, 0.023447, 0.019771, 0.024744, 0.024239, 0.023144, 0.024099, 0.029496, 0.033178, 0.029515
0.032248, 0.033696, 0.030469, 0.030146, 0.041318, 0.041867, 0.038473, 0.029758, 0.02897, 0.029267, 0.029205, 0.016256, 0.023426, 0.019771, 0.024765, 0.024253, 0.023133, 0.024229, 0.029253, 0.032414, 0.030073
0.032227, 0.033832, 0.03029, 0.030494, 0.071436, 0.041898, 0.038344, 0.029727, 0.029008, 0.02928, 0.029192, 0.016315, 0.023365, 0.01978, 0.024776, 0.024214, 0.023169, 0.025038, 0.029882, 0.032721, 0.030239
0.031704, 0.033941, 0.030393, 0.030966, 0.041262, 0.041917, 0.038367, 0.029786, 0.029007, 0.029212, 0.029181, 0.016291, 0.02337, 0.020041, 0.024786, 0.024245, 0.023131, 0.024025, 0.029103, 0.032895, 0.029709
0.032187, 0.033348, 0.030227, 0.030912, 0.041188, 0.041892, 0.038479, 0.029825, 0.029013, 0.029302, 0.029183, 0.016305, 0.023292, 0.019772, 0.024743, 0.024209, 0.023164, 0.024087, 0.029309, 0.032879, 0.029651
0.032018, 0.044616, 0.030415, 0.030946, 0.042027, 0.041929, 0.038456, 0.029807, 0.02904, 0.029259, 0.029569, 0.016322, 0.023381, 0.01977, 0.024786, 0.024296, 0.023132, 0.024164, 0.029464, 0.033007, 0.030051
0.032208, 0.033775, 0.030392, 0.055608, 0.041202, 0.041845, 0.038418, 0.029776, 0.02897, 0.029248, 0.029198, 0.016288, 0.023355, 0.019772, 0.024717, 0.024245, 0.023147, 0.024353, 0.029584, 0.032677, 0.029812
0.033071, 0.033613, 0.03067, 0.030903, 0.041185, 0.041932, 0.038427, 0.029759, 0.028946, 0.029253, 0.029179, 0.016307, 0.023411, 0.020067, 0.024759, 0.024251, 0.023153, 0.024151, 0.029183, 0.032629, 0.052938
0.032193, 0.03384, 0.030359, 0.030229, 0.041245, 0.041909, 0.038365, 0.029762, 0.028965, 0.029228, 0.029242, 0.016281, 0.023373, 0.019774, 0.024749, 0.024265, 0.023146, 0.024087, 0.029254, 0.032686, 0.030161
0.032647, 0.033765, 0.029763, 0.030165, 0.04123, 0.041869, 0.03851, 0.029733, 0.028955, 0.029245, 0.029223, 0.016257, 0.023255, 0.019769, 0.024742, 0.02422, 0.023172, 0.024178, 0.028959, 0.032748, 0.029701
